#########################
RELEASE DATE '+%Y-%m-%d'
Violations: 34
-----------------
ERROR:      34
WARN:       0
INFO:       0
Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	obo:cpo_0000020	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000020	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000020	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000041	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000041	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000044	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000044	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000043	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000043	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000021	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000021	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000021	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000021	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000046	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000046	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000024	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000024	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000024	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000024	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000045	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000045	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000023	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000023	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000023	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000023	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000003	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000003	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000003	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000003	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000003	obo:IAO_0000232		
ERROR	deprecated_class_reference	obo:cpo_0000025	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000025	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000025	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000025	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000047	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000047	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000050	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000050	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000050	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000050	obo:IAO_0000115		

2018-09-12 16:02:31,508 ERROR org.obolibrary.robot.ReportCommand - Report failed!

